,Neighborhood,Housing,Safety,Transit,Shopping,Health,Entertainment,Community,Diversity,Education,Employment,Latitude,Longitude
0,Runnymede-Bloor West Village,97.1,95.0,74.3,87.9,88.6,72.9,77.9,8.6,73.6,100.0,43.6511002,-79.4765826
1,North Riverdale,90.0,49.3,86.4,82.9,98.6,86.4,80.7,10.7,87.1,96.4,43.6752909,-79.3485883
2,Mount Pleasant East,92.1,98.6,72.9,61.4,100.0,72.1,48.6,9.3,68.6,95.7,43.7103203,-79.390914
3,Danforth,78.6,62.9,89.3,87.9,87.1,93.6,72.1,13.6,62.1,81.4,43.6815973,-79.3316902
4,Lawrence Park North,83.6,87.1,81.4,37.1,97.9,75.0,76.4,3.6,70.7,99.3,43.7291819,-79.4034093
5,Rosedale-Moore Park,96.4,46.4,97.1,64.3,90.7,64.3,61.4,4.3,88.6,90.7,43.6799982,-79.3907494
6,Playter Estates-Danforth,49.3,83.6,90.7,87.9,99.3,92.9,36.4,6.4,61.4,92.9,43.6773993,-79.3526198
7,Trinity-Bellwoods,74.3,28.6,88.6,96.4,65.0,97.9,52.9,38.6,77.9,82.1,43.6452347,-79.4132022
8,Leaside-Bennington,100.0,84.3,59.3,34.3,82.9,40.7,98.6,2.1,84.3,95.0,43.6839708,-79.3644544
9,Yonge-St. Clair,55.7,90.7,76.4,48.6,91.4,89.3,25.0,10.0,94.3,97.1,43.6881949,-79.3941109
10,The Beaches,87.9,53.6,62.9,64.3,70.0,83.6,91.4,0.7,55.7,98.6,43.6650766,-79.3033581
11,Palmerston-Little Italy,69.3,43.6,87.1,92.9,60.0,96.4,27.9,19.3,93.6,77.9,43.6554032,-79.4139369
12,Bedford Park-Nortown,82.1,44.3,80.0,50.7,95.0,55.0,88.6,12.1,75.0,88.6,43.7229863,-79.4158999
13,Cabbagetown-South St. James Town,64.3,30.7,84.3,93.6,92.9,78.6,50.7,18.6,76.4,68.6,43.6674042,-79.3616511
14,Mount Pleasant West,23.6,64.3,80.0,92.1,95.7,95.0,17.9,37.1,90.0,71.4,43.7041294,-79.3941487
15,Danforth-East York,85.7,80.7,60.0,72.9,63.6,50.0,95.7,27.9,16.4,72.1,43.687626,-79.3401487
16,Yonge-Eglinton,28.6,73.6,96.4,50.0,97.1,85.0,67.1,11.4,37.1,92.9,43.7067628,-79.3981628
17,Kingsway South,99.3,89.3,60.7,13.6,80.0,37.9,100.0,2.9,40.0,84.3,43.6511922,-79.4931804
18,Wychwood,32.1,55.7,70.7,90.7,90.0,87.1,37.9,32.1,65.0,80.0,43.6809522,-79.4296299
19,Bay Street Corridor,42.9,3.6,100.0,99.3,87.9,100.0,3.6,70.7,99.3,36.4,43.6499413,-79.3810363
20,University,44.3,30.0,94.3,82.1,94.3,95.7,0.7,35.7,100.0,51.4,43.6620572,-79.3942802
21,Old East York,80.7,85.0,50.0,38.6,38.6,70.0,93.6,23.6,43.6,82.1,43.6924484,-79.3358479
